menu,price,image_url
7種の魚介 濃厚味噌らーめん（関西）,450円,https://www.kurasushi.co.jp/menu/images_menu/1a1fe32ac871cf4380139b2257c4f8ea420309e4.jpg
7種の魚介 濃厚味噌らーめん（関東）,450円,https://www.kurasushi.co.jp/menu/images_menu/6396fd2c353f9ac83889cba0aa98107059a886e0.jpg
胡麻香る担々麺,450円,https://www.kurasushi.co.jp/menu/images_menu/8d4662c500a7e95931c2624663074f04e7033ff7.jpg
かけうどん（平日限定）,165円,https://www.kurasushi.co.jp/menu/upload/a198e88d5da75ecc4cfb625115fbff42ecc61716.jpg
きつねうどん,360円,https://www.kurasushi.co.jp/menu/images_menu/c89857f84ad13fe07ab5366fc3559ebe3338f61c.jpg
えび天うどん,360円,https://www.kurasushi.co.jp/menu/images_menu/db0bc1aff9f3ff491d6339c2e67893689380dc2b.jpg
あさり入り 味噌汁,230円,https://www.kurasushi.co.jp/menu/images_menu/b6a2e31fdb98e33555bd241757dafcc09f46582b.jpg
あさり入り 赤だし,230円,https://www.kurasushi.co.jp/menu/images_menu/5d743579b6302b31eede92cb4d61c5cf0f5390fd.jpg
あおさ入り 味噌汁,200円,https://www.kurasushi.co.jp/menu/images_menu/445844d7a5b8cfce7fd17c52ee42be470a983b83.jpg
あおさ入り 赤だし,200円,https://www.kurasushi.co.jp/menu/images_menu/73d42161a5b74ae97a3fb82948cdbba1d058f3e6.jpg
特製茶碗蒸し,200円,https://www.kurasushi.co.jp/menu/images_menu/85df2cc4b6d91ab9eebd7736206baa0ee99fcdcf.jpg
くら出汁,115円,https://www.kurasushi.co.jp/menu/images_menu/a7401bd39dbb9878db423accc29782d4a5ab92cb.jpg
えびブロッコリーサラダ,165円,https://www.kurasushi.co.jp/menu/images_menu/b419592eec93debdfc2dd88ac81f50ba5701847a.jpg
くらポテト,190円,https://www.kurasushi.co.jp/menu/upload/67e2f12f7f2511e0d21694df5119fcf37dbbbdc9.jpg
伝説の鶏唐揚げ,360円,https://www.kurasushi.co.jp/menu/upload/31d8decdfe6c828ac9094c3482b57e8d9482a0f7.jpg
オニオンリング,115円,https://www.kurasushi.co.jp/menu/images_menu/ac654141a5bbfa2206c8e7268eec7b59e8842296.jpg
とうもろこしのかき揚げ,115円,https://www.kurasushi.co.jp/menu/images_menu/09a11614f7400286684b6a2413e6324228d9a8dc.jpg
ミニころチキン,115円,https://www.kurasushi.co.jp/menu/upload/588a14758f2baccb82e606eb98e90236b63d5530.jpg
オリオンドラフト＜生ビール＞,500円,https://www.kurasushi.co.jp/menu/images_menu/3d5468b80578d1f1b466463650fa64be14c65089.jpg
生ビール,550円,https://www.kurasushi.co.jp/menu/upload/ce5e6ba3d9d3f7e93842cd54a78025d368e238c3.jpg
瓶ビール,610円,https://www.kurasushi.co.jp/menu/upload/b43177a46877f8acc470e3cc0992d1dace3ed7b7.jpg
ドライゼロα（ノンアルコールビ ール）,390円,https://www.kurasushi.co.jp/menu/images_menu/007_003.jpg
冷酒無添蔵,610円,https://www.kurasushi.co.jp/menu/images_menu/1b081c5c259c885bbd64f1b7268bfabe93fa149f.jpg
ハイボール,420円,https://www.kurasushi.co.jp/menu/images_menu/0eba16d672dc03496c4f55532001201db14b0af7.jpg
ペールエール（クラフトビール）,660円,https://www.kurasushi.co.jp/menu/upload/d8e6a5fb7412585b6e04430165b1eda2ff56e5fa.jpg
BT21　　和菓子　KOYA（コヤ）　こし餡,300円,https://www.kurasushi.co.jp/menu/upload/47f0ebaa5414fbeb8901068e0b52fef2ba86c239.jpg
BT21　　和菓子　RJ（アールジェイ)　こし餡,300円,https://www.kurasushi.co.jp/menu/upload/d211dcec1768b410828de25603aec7014f2ecc60.jpg
BT21　　和菓子　SHOOKY（シュッキー）　チョコレート餡,300円,https://www.kurasushi.co.jp/menu/upload/f386546dade7b73d95b2468d2b40222807467734.jpg
