menu,price,image_url
7種の魚介 濃厚味噌らーめん（関東）,450円,f47e91cb-2b79-4805-8a61-bd8198884532.jpg
胡麻香る担々麺,450円,8666ca14-4573-46b0-806c-1cb3e12c7ad5.jpg
かけうどん（平日限定）,165円,8935cd78-0437-410f-8902-c2fd4f507095.jpg
きつねうどん,360円,e397f59e-897f-43e5-8e3d-ff972f13f156.jpg
えび天うどん,360円,c2f1d0d5-4254-453f-b7df-b12ff07e5bf9.jpg
あさり入り 味噌汁,230円,6e8a48fb-99cb-44ab-944e-d8fc7bb261c6.jpg
あさり入り 赤だし,230円,7c7734fd-5fdb-42c2-ab12-b1c4fde20b48.jpg
あおさ入り 味噌汁,200円,d56e7f2a-7aa1-4469-9b5b-2c591f4d2a82.jpg
あおさ入り 赤だし,200円,ae720bf2-1563-40df-842f-7e09a920e312.jpg
特製茶碗蒸し,200円,5b608c26-7706-44f6-a777-2079f8e751eb.jpg
くら出汁,115円,9fd671fd-1369-4cfd-bda6-3d31ac5b0a94.jpg
えびブロッコリーサラダ,165円,1610fa84-f4a8-4363-9eac-3887d4192d67.jpg
くらポテト,190円,9d5beb67-4081-4f70-bbf4-c6ceb2e03fcc.jpg
伝説の鶏唐揚げ,360円,c0a517da-ee41-4509-a6fd-fe07f65f6009.jpg
オニオンリング,115円,9ec5cde4-2e20-41e3-8f69-5bbd5f91348f.jpg
とうもろこしのかき揚げ,115円,97c5d369-ce7f-4751-b90c-6c4f1ae99c8b.jpg
ミニころチキン,115円,375ec384-b1cf-47ab-adc4-916c87143614.jpg
オリオンドラフト＜生ビール＞,500円,3d0e0f02-adb5-49f1-9854-f64698a80977.jpg
生ビール,550円,e478df33-7f2e-4926-856d-f9251318ddc1.jpg
瓶ビール,610円,1b8c7418-5c04-4984-a402-28ad8cdea7dd.jpg
ドライゼロα（ノンアルコールビ ール）,390円,5262c536-e8b4-4521-b25f-02d504881982.jpg
冷酒無添蔵,610円,d22a626c-c07c-4fbf-b6cb-455f8032d24c.jpg
ハイボール,420円,fb57f77b-a597-41f7-952d-2867176593a2.jpg
ペールエール（クラフトビール）,660円,7a9952d6-be7a-4ea9-855a-f2692f607834.jpg
BT21　　和菓子　KOYA（コヤ）　こし餡,300円,f43aa99a-4aac-4cff-92ae-bc7de53ccf95.jpg
BT21　　和菓子　RJ（アールジェイ)　こし餡,300円,ce2e2fe3-922c-4a3f-a67b-e4351bca1eae.jpg
BT21　　和菓子　SHOOKY（シュッキー）　チョコレート餡,300円,1953bd10-6f1f-46fc-97fa-32739f1cf631.jpg
BT21　和菓子　MANG（マン）　チョコレート餡,300円,5aecd655-4b86-4dce-80a1-a5c7e2870115.jpg
BT21　　和菓子　CHIMMY（チミー）　チョコレート餡,300円,ade32e3a-49a7-47c4-b302-bcb698299214.jpg
BT21　　和菓子　TATA（タタ）　いちご餡,300円,9e2ee884-d52b-4e23-a47a-7b0a97184e8d.jpg
BT21　　和菓子COOKY（クッキー）　いちご餡,300円,07b72dea-aabc-46d4-b055-eb84c61be333.jpg
キャラメルモンブランパフェ,640円,bb2e51e2-fad2-4cb1-8595-023bdc83317b.jpg
揚げたい焼き,115円,8bd9a895-59e5-474b-a1f7-1670f17e8c70.jpg
イタリアンティラミス,250円,2b834f28-7b54-4f2d-b6d2-f9f8da485888.jpg
ヴィクトリアケーキ,250円,b794627d-4943-4de2-81eb-cfc0797613c8.jpg
いちごのホワイトアイスケーキ,250円,fd4e9a0f-7462-4e0f-953d-f3ed6aa11cb9.jpg
揚げたて豆乳ドーナツ,360円,fe720b6c-cd7b-482c-b6ed-82034fc62e22.jpg
塩豆大福,115円,0263889d-adc3-45cc-9a1b-59e277edb9de.jpg
カットパイン,115円,635bb75f-64c3-467b-9a9f-9b64f7ba633e.jpg
北海道みるくのプリンタルト,115円,066ee2ab-745a-4e5c-8282-d11117a037be.jpg
北海道みるくシューアイス,115円,d30e8aa9-29d3-4668-a186-67a93f52fb57.jpg
チョコケーキ,115円,73a0aff2-f552-4dc5-80d3-aac9ec89b723.jpg
チーズケーキ,115円,9251fab8-2850-461b-b264-beeacbbc5da7.jpg
ミルクレープ,250円,b32209da-98ef-44ba-8f1e-7cfe60f30276.jpg
大学芋スティック,115円,64ec5051-d3ef-4267-88c3-52bc6695cc15.jpg
京わらびもち,115円,5624e89c-09cc-4be9-97b1-2c0ea24714f1.jpg
バニラアイス,115円,879b8965-4519-48be-883c-0e4c687c0a31.jpg
チョコアイス,115円,a8be9d7a-4a7f-45ef-a900-9cff0a4fade3.jpg
豆乳アイス,115円,1591260a-3c6a-410a-9732-482fdaa25858.jpg
巨峰シャーベット,115円,c3954d70-c499-474f-ac1e-a174079b8998.jpg
完熟マンゴー,360円,af919808-7a34-4542-b0f8-2be31c7ca188.jpg
乳酸菌ウォーター,115円,4159693a-337f-46c1-ad8b-56e80e7d18a8.jpg
オレンジ・みかんジュース,200円,47bd4883-e5a3-4807-b164-235b998028f6.jpg
りんごジュース,200円,f9458815-ef57-4f35-ad79-bd7a3eea38eb.jpg
宇治抹茶入り緑茶,115円,985cc402-3985-4edc-b742-2f312dc1efef.jpg
プレミアホット珈琲,150円,6e23e091-e6f9-4420-ba1f-ae4a1b7bd3ba.jpg
プレミアアイス珈琲,150円,7f00d4be-de83-4eaa-bf7d-7973b59fc24f.jpg
プレミアホットラテ,180円,96310644-48b7-42b7-87cb-b19aa71f1885.jpg
プレミアアイスラテ,180円,c4004162-7bea-44bf-b6a3-a4154bc1178a.jpg
